Plate,Year,Registrarion year
51,Sep-01,2001
2,Mar-02,2002
52,Sep-02,2002
3,Mar-03,2003
53,Sep-03,2003
4,Mar-04,2004
54,Sep-04,2004
5,Mar-05,2005
55,Sep-05,2005
6,Mar-06,2006
56,Sep-06,2006
7,Mar-07,2007
57,Sep-07,2007
8,Mar-08,2008
58,Sep-08,2008
9,Mar-09,2009
59,Sep-09,2009
10,Mar-10,2010
60,Sep-10,2010
11,Mar-11,2011
61,Sep-11,2011
12,Mar-12,2012
62,Sep-12,2012
13,Mar-13,2013
63,Sep-13,2013
14,Mar-14,2014
64,Sep-14,2014
15,Mar-15,2015
65,Sep-15,2015
16,Mar-16,2016
66,Sep-16,2016
17,Mar-17,2017
67,Sep-17,2017
18,Mar-18,2018
68,Sep-18,2018
19,Mar-19,2019
69,Sep-19,2019
20,Mar-20,2020
70,Sep-20,2020
21,Mar-21,2021
71,Sep-21,2021
22,Mar-22,2022
72,Sep-22,2022
23,Mar-23,2023
73,Sep-23,2023
24,Mar-24,2024
74,Sep-24,2024
25,Mar-25,2025
75,Sep-25,2025
26,Mar-26,2026
76,Sep-26,2026
27,Mar-27,2027
77,Sep-27,2027
28,Mar-28,2028
78,Sep-28,2028
29,Mar-29,2029
79,Sep-29,2029
30,Mar-30,2030
80,Sep-30,2030
31,Mar-31,2031
81,Sep-31,2031
32,Mar-32,2032
82,Sep-32,2032
33,Mar-33,2033
83,Sep-33,2033
34,Mar-34,2034
84,Sep-34,2034
35,Mar-35,2035
85,Sep-35,2035
36,Mar-36,2036
86,Sep-36,2036
37,Mar-37,2037
87,Sep-37,2037
38,Mar-38,2038
88,Sep-38,2038
39,Mar-39,2039
89,Sep-39,2039
40,Mar-40,2040
90,Sep-40,2040
41,Mar-41,2041
91,Sep-41,2041
42,Mar-42,2042
92,Sep-42,2042
43,Mar-43,2043
93,Sep-43,2043
44,Mar-44,2044
94,Sep-44,2044
45,Mar-45,2045
95,Sep-45,2045
46,Mar-46,2046
96,Sep-46,2046
47,Mar-47,2047
97,Sep-47,2047
48,Mar-48,2048
98,Sep-48,2048
49,Mar-49,2049
99,Sep-49,2049
